conv_id	condition	utterance_id	participant	length_char	length_words	utterance
o9UbVjHVrS	active	-NBM4Po72yJo9OVy-leY	agent	259	47	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare Southern Fried Chicken. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say start.
o9UbVjHVrS	active	-NBM4S96oY29x6vyunqZ	user	5	1	start
o9UbVjHVrS	active	-NBM4Vc_a2KIh2KpZR27	agent	30	6	Hello.  How can I help you? :)
o9UbVjHVrS	active	-NBM4d-O2nP6qoZ2zi-G	user	26	5	ok, what's the first step?
o9UbVjHVrS	active	-NBM4ihrwHLmCiybGdRW	agent	13	3	I'll show you
o9UbVjHVrS	active	-NBM4qPJT1_OQMboWpmm	agent	22	5	Do you see it already?
o9UbVjHVrS	active	-NBM4uO8I7-lL_ppa5pr	user	27	5	I don't see anything? sorry
o9UbVjHVrS	active	-NBM4yU-HWgg2zpxsoey	agent	163	29	Alright so this is what you need to do first:Combine the paprika, black pepper, garlic powder, oregano, and cayenne in a small bowl and mix thoroughly with a fork.
o9UbVjHVrS	active	-NBM58CSkmlIbQsVMDuu	user	11	2	cool thanks
o9UbVjHVrS	active	-NBM5EpFpY6DZXAdG5sI	agent	54	9	Do you have any questions regarding this initial step?
o9UbVjHVrS	active	-NBM5KRGzz_M1hyeDk-t	user	16	4	No, I've done it
o9UbVjHVrS	active	-NBM5S-yZa1DkGIzW50g	agent	24	5	Great! So let's move on.
o9UbVjHVrS	active	-NBM5Trr0mPHaWcGOeZb	agent	383	66	Step 2:  Whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl. Add the chicken pieces and toss and turn to coat. Transfer the contents of the bowl to a gallon-sized zipper-lock freezer bag and refrigerate for at least 4 hours, and up to overnight, flipping the bag occasionally to redistribute the contents and coat the chicken evenly.
o9UbVjHVrS	active	-NBM5tda8V8hUlrTOsWZ	user	44	9	Do I manually whisk or use a mixing machine?
o9UbVjHVrS	active	-NBM5xOtldpYKGXMelEg	agent	13	3	Let me see...
o9UbVjHVrS	active	-NBM6Pn-LF9psTijFTpR	agent	93	17	I'm sorry, I do not think I have this information. But manual whisking should be enough here.
o9UbVjHVrS	active	-NBM6TTuP4YX1MgZHPVM	user	36	9	Ok, after the 4 hours, what do I do?
o9UbVjHVrS	active	-NBM6c-b1o9sI-ts0L-s	agent	95	18	Also be aware of the chemical processes that are going on in this step which is called brining.
o9UbVjHVrS	active	-NBM6iM9ypJN_yzcjote	user	16	3	What is brining?
o9UbVjHVrS	active	-NBM6nMy00Tt9Y6sYKse	agent	119	21	Brining is the process by which a lean meat (most often chicken, turkey, or pork) is submerged in a saltwater solution.
o9UbVjHVrS	active	-NBM6vSoancJRmbMelTj	user	45	7	That's very interesting, what does brining do
o9UbVjHVrS	active	-NBM6vn7Z86UOCauNJrG	user	1	0	?
o9UbVjHVrS	active	-NBM70UTztlNItkmR49Z	agent	27	6	I'm happy to tell you this.
o9UbVjHVrS	active	-NBM7585yS1_dj7s0uca	agent	215	35	As the meat sits, the saltwater will slowly dissolve key muscle proteins—most notably myosin, a protein that acts as a sort of glue, holding muscle fibers together). As the myosin dissolves, three things take place:
o9UbVjHVrS	active	-NBM77taUu5L6vt1DXax	agent	63	11	First, the ability of the meat to hold onto moisture increases.
o9UbVjHVrS	active	-NBM7E1ziBe_CHdaOESy	agent	248	37	Second, brining alters the texture of the meat by allowing dissolved proteins to cross-link with each other. This is the main principle behind sausage making—dissolved proteins can bond with each other, creating a pleasantly bouncy, tender texture.
o9UbVjHVrS	active	-NBM7FvTYVDZufAoNGZo	agent	233	41	Third, as the brine slowly works its way into the meat, it seasons it beyond just the very surface. An overnight brine will penetrate a few millimeters into the meat, giving you built-in seasoning before you ever get to the breading.
o9UbVjHVrS	active	-NBM7KBdZSPDn4HL2PZf	agent	23	3	Interesting, right? :-D
o9UbVjHVrS	active	-NBM7RU-omojD198aeRP	user	19	3	That is interesting
o9UbVjHVrS	active	-NBM7STkMNzJvm89tZ9b	user	9	2	Thank you
o9UbVjHVrS	active	-NBM7g6jxCzFYEE9AQOv	agent	70	12	You can also spot a visual difference between unbrined and brined meat
o9UbVjHVrS	active	-NBM87rcSmhAWC82o_l-	user	10	3	Can I see?
o9UbVjHVrS	active	-NBM8Acl0t_ZvA6AIVMj	agent	5	1	Sure!
o9UbVjHVrS	active	-NBM8FshrXcp_-d0JtuC	user	25	3	Definitely more moisture!
o9UbVjHVrS	active	-NBM8Iyq9xzk6TxtAT6G	agent	7	2	Oh yes!
o9UbVjHVrS	active	-NBM8RGDpXyeJGimLcbc	agent	62	10	Also: Using buttermilk affects the outcome in a special way :)
o9UbVjHVrS	active	-NBM9KbxYFNiGHX67D6z	user	7	2	How so?
o9UbVjHVrS	active	-NBM9WVb-tmq5Jm2rLa3	agent	406	72	If you replace water with buttermilk, not only does the chicken come out just as moist as with water brine, it is actually significantly more tender as well, due to the tenderizing effects of buttermilk on food (soaking it for more than one night led to chicken that was so tender that it bordered on mush). Finally, hitting the buttermilk with spices helps build flavor right into the surface of the bird.
o9UbVjHVrS	active	-NBM9yFYqIqvcRtqBiwf	agent	107	19	So these are the key features you should know about brining.  Was it helpful? Do you need more information?
o9UbVjHVrS	active	-NBMA3-0QBWKqqRPdLCs	user	23	4	Very helpful thank you!
o9UbVjHVrS	active	-NBMA7HlgU4nevUVg-EI	agent	6	1	Great!
o9UbVjHVrS	active	-NBMAEQUDaLnjoC3s54G	agent	54	12	If you wish to go to the next step, simply say "Next".
o9UbVjHVrS	active	-NBMAFVdjYuyx-wxPTiB	user	4	1	next
o9UbVjHVrS	active	-NBMAM1CfhFg0qMNiM9G	agent	602	107	Step 3:  Whisk together the flour, cornstarch, baking powder, 2 teaspoons salt, and the remaining spice mixture in a large bowl. Add 3 tablespoons of the marinade from the zipper-lock bag and work it into the flour with your fingertips. Remove one piece of chicken from the bag, allowing excess buttermilk to drip off, drop the chicken into the flour mixture, and toss to coat. Continue adding chicken pieces to the flour mixture one at a time until they are all in the bowl. Toss the chicken until every piece is thoroughly coated, pressing with your hands to get the flour to adhere in a thick layer.
o9UbVjHVrS	active	-NBMB4kQJhUOa3A3ua8m	agent	34	8	How can I help you with this step?
o9UbVjHVrS	active	-NBMBd8pnZL3EkIIopEn	user	20	4	Think it makes sense
o9UbVjHVrS	active	-NBMBebuy4h2k1PCFIhk	user	33	4	any chemical processes happening?
o9UbVjHVrS	active	-NBMBkpjJC2G4KJL63wl	agent	13	2	Actually yes.
o9UbVjHVrS	active	-NBMC7IC71CIU9dDtINb	agent	120	21	The ingredients we are using for the breading here, affect the result and crispiness of the crust in an interesting way.
o9UbVjHVrS	active	-NBMC9GL0bSjA7d7S4j-	user	6	2	how so
o9UbVjHVrS	active	-NBMCLH115AfvXdeuKoN	agent	32	5	Let's start with the cornstarch.
o9UbVjHVrS	active	-NBMCjOdb6GfW-hu3F-h	agent	330	49	Knowing that gluten—the network of proteins formed when flour meets water—is the most likely culprit that leads to a crust with an almost rock-like density.  First and foremost: cut the protein-rich wheat flour with cornstarch, a pure starch that adds moisture-absorbing capabilities to the breading without adding excess protein.
o9UbVjHVrS	active	-NBMClFqXrbV8SFFMP0F	agent	45	8	Replacing a quarter of the flour worked well.
o9UbVjHVrS	active	-NBMCt2Lzr8DXegrjDdQ	user	11	2	that's cool
o9UbVjHVrS	active	-NBMCx39OYWlhtFo5_aV	agent	62	11	Oh it is! Also baking powder is the second influencing factor!
o9UbVjHVrS	active	-NBMCymSIFRVIEyXzI63	user	4	1	how?
o9UbVjHVrS	active	-NBMDBYekza9tWwgxLH1	agent	230	42	Adding a couple teaspoons of baking powder to the mix helps bring a bit of air to the mix, forming a crust that is lighter and crisper, with increased surface area (and we all know that more surface area = more crispness, right?).
o9UbVjHVrS	active	-NBMDJ5g6IUp_3nLYPCi	agent	188	33	The reason is: baking powder raises the pH of the skin, causing it to brown more efficiently and the thin film of protein-rich liquid around it to form microbubbles that can add crispness.
o9UbVjHVrS	active	-NBMDUaGrK8xwLzxsk6o	agent	44	8	So that's the magic behind baking powder :-D
o9UbVjHVrS	active	-NBMDdLMX_YluPMYMz9o	user	9	2	very cool
o9UbVjHVrS	active	-NBME-GwNJS-GuJcGt2B	agent	72	14	Do you want to hear another trick about how to make an extra-caggy coat?
o9UbVjHVrS	active	-NBME47dysG4jViqohlN	user	3	1	yes
o9UbVjHVrS	active	-NBMEHEcc5YdHZBTlP2e	agent	330	54	Once the chicken was breaded, the later batches always come out better than the earlier ones as bits of the flour mixture clump together, making for an extra-craggy coat.  Adding a couple tablespoons of buttermilk to the breading mix and working it in with your fingertips before dredging the chicken simulates this effect nicely.
o9UbVjHVrS	active	-NBMEKuN-C86WQCb6Zxb	user	22	5	can you show me videos
o9UbVjHVrS	active	-NBMETB2rrvI4MpFz3qk	agent	48	9	Unfortunately not, but I can show you a picture:
o9UbVjHVrS	active	-NBMEoTYLo68Y_AUvdk2	agent	56	10	That's how you add some buttermilk to the flour mixture.
o9UbVjHVrS	active	-NBMF-3BYv92LYWGXTzN	user	19	3	what is buttermilk?
o9UbVjHVrS	active	-NBMF8vcfIrDLphxKlMD	agent	737	117	Buttermilk is a fermented dairy drink. Traditionally, it was the liquid left behind after churning butter out of cultured cream. However, most modern buttermilk is cultured. It is common in warm climates (including the Balkans, South Asia, the Middle East and the Southern United States) where unrefrigerated fresh milk sours quickly. Buttermilk can be drunk straight, and it can also be used in cooking. In making Soda bread, the acid in buttermilk reacts with the raising agent, sodium bicarbonate, to produce carbon dioxide which acts as the leavening agent. Buttermilk is also used in marination, especially of chicken and pork, which the lactic acid helps to tenderize, retain moisture and allows added flavors to permeate the meat.
o9UbVjHVrS	active	-NBMFX--3N8SUNUwMdsN	agent	44	10	Was it helpful? Or do you want to hear more?
o9UbVjHVrS	active	-NBMGMQOrrMflJFg1FA6	user	11	2	more please
o9UbVjHVrS	active	-NBMGX5eVgptJN3zbwON	agent	733	120	Buttermilk is the byproduct of butter making.Butter is made by agitating cream resulting in clumps of fat and a milky white liquid that contains nearly no fat and some protein. If the cream was soured before (either by aging or by inoculating the cream with lactobacillae), the buttermilk will also be sour. If the butter was made from unfermented cream, the buttermilk will be mild.Uncultured buttermilk is rarely sold, even if butter is made commercially with regular cream, the resulting buttermilk is soured afterwards.As buttermilk is made from a fraction of whole milk (the cream), you could say it’s a part of soured milk. I outlined the process of butter making in this answer, that should also help understanding buttermilk.
o9UbVjHVrS	active	-NBMHAkyute0loU9x5Cy	agent	22	3	Any further questions?
