conversation_id	condition	participant_gender	participant_age	utterance_id	parent_id	parent_info_need	parent_info_need_subtype	parent_text	utterance_text	info_need	info_need_subtype	nugget_1	nugget_2	nugget_3	excel_how_to	excel_recipe	wikipedia	serious_eats	stack_excahnge
o9UbVjHVrS	active	female	25-34	-NBM4Po72yJo9OVy-leY	 	 	 	 	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare Southern Fried Chicken. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say start.			0	3	3	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM4Vc_a2KIh2KpZR27	 	 	 	 	Hello.  How can I help you? :)			0	0	0. There are no factual statements or information in this text.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM4ihrwHLmCiybGdRW	-NBM4d-O2nP6qoZ2zi-G	preparation		ok, what's the first step?	I'll show you			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM4qPJT1_OQMboWpmm	-NBM4d-O2nP6qoZ2zi-G	preparation		ok, what's the first step?	Do you see it already?			0	0	0 (There are no facts stated in this text. It is a question.)	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM4yU-HWgg2zpxsoey	-NBM4uO8I7-lL_ppa5pr			I don't see anything? sorry	Alright so this is what you need to do first:Combine the paprika, black pepper, garlic powder, oregano, and cayenne in a small bowl and mix thoroughly with a fork.			0	1	There is only one fact in the text: the ingredients that need to be combined are paprika, black pepper, garlic powder, oregano, and cayenne.	0	1	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM4yehXU5y2XFQ6cqA	-NBM4uO8I7-lL_ppa5pr			I don't see anything? sorry	https://www.seriouseats.com/thmb/u9l4n4Din6ljvvrAMYBbK2xBY38=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2015__07__20210324-SouthernFriedChicken-Andrew-Janjigian-step1-7ffb702156b24545914d31d4b1c39007.jpg			0	0	There are no facts in this text.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM5EpFpY6DZXAdG5sI	 	 	 	 	Do you have any questions regarding this initial step?			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM5S-yZa1DkGIzW50g	-NBM5KRGzz_M1hyeDk-t			No, I've done it	Great! So let's move on.			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM5Trr0mPHaWcGOeZb	 	 	 	 	Step 2:  Whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl. Add the chicken pieces and toss and turn to coat. Transfer the contents of the bowl to a gallon-sized zipper-lock freezer bag and refrigerate for at least 4 hours, and up to overnight, flipping the bag occasionally to redistribute the contents and coat the chicken evenly.			0	6	There are at least 6 facts in this text: 1. Step 2 involves whisking certain ingredients in a bowl. 2. The ingredients being whisked include buttermilk, egg, salt, and spice mixture. 3. The chicken pieces are added to the bowl and coated in the mixture. 4. The coated chicken and mixture are then transferred to a zipper-lock freezer bag. 5. The bag is refrigerated for at least 4 hours, up to overnight. 6. The bag should be flipped occasionally to redistribute the contents and coat the chicken evenly.	0	1	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM5U8EKZUlG4TE4PJd	 	 	 	 	https://www.seriouseats.com/thmb/5E35nL42OZWdZhtvfspS2U95nTo=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2015__07__20210324-SouthernFriedChicken-Andrew-Janjigian-step2-dd304371d2ae41edbcf0478f4da4d229.jpg			0	0	There are no facts in this text.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM5xOtldpYKGXMelEg	-NBM5tda8V8hUlrTOsWZ	equipment		Do I manually whisk or use a mixing machine?	Let me see...			0	0	0 (There is no fact mentioned in the provided text. It only contains a phrase that does not provide any factual information.)	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM6Pn-LF9psTijFTpR	-NBM5tda8V8hUlrTOsWZ	equipment		Do I manually whisk or use a mixing machine?	I'm sorry, I do not think I have this information. But manual whisking should be enough here.			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM6c-b1o9sI-ts0L-s	 	 	 	 	Also be aware of the chemical processes that are going on in this step which is called brining.			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM6nMy00Tt9Y6sYKse	-NBM6iM9ypJN_yzcjote	cooking_technique		What is brining?	Brining is the process by which a lean meat (most often chicken, turkey, or pork) is submerged in a saltwater solution.			1	1	1	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM70UTztlNItkmR49Z	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	I'm happy to tell you this.			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM70UTztlNItkmR49Z	-NBM6vn7Z86UOCauNJrG			?	I'm happy to tell you this.			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7585yS1_dj7s0uca	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	As the meat sits, the saltwater will slowly dissolve key muscle proteins—most notably myosin, a protein that acts as a sort of glue, holding muscle fibers together). As the myosin dissolves, three things take place:			1	3	There are three facts in this text: 1. Saltwater dissolves key muscle proteins in meat as it sits 2. Myosin is a protein that acts as a glue and holds muscle fibers together 3. When myosin dissolves, three things take place.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7585yS1_dj7s0uca	-NBM6vn7Z86UOCauNJrG			?	As the meat sits, the saltwater will slowly dissolve key muscle proteins—most notably myosin, a protein that acts as a sort of glue, holding muscle fibers together). As the myosin dissolves, three things take place:			1	3	There are three facts in this text: 1. Saltwater dissolves key muscle proteins in meat as it sits 2. Myosin is a protein that acts as a glue and holds muscle fibers together 3. When myosin dissolves, three things take place.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM77taUu5L6vt1DXax	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	First, the ability of the meat to hold onto moisture increases.			1	1	1	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM77taUu5L6vt1DXax	-NBM6vn7Z86UOCauNJrG			?	First, the ability of the meat to hold onto moisture increases.			1	1	1	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7E1ziBe_CHdaOESy	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	Second, brining alters the texture of the meat by allowing dissolved proteins to cross-link with each other. This is the main principle behind sausage making—dissolved proteins can bond with each other, creating a pleasantly bouncy, tender texture.			1	2	2	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7E1ziBe_CHdaOESy	-NBM6vn7Z86UOCauNJrG			?	Second, brining alters the texture of the meat by allowing dissolved proteins to cross-link with each other. This is the main principle behind sausage making—dissolved proteins can bond with each other, creating a pleasantly bouncy, tender texture.			1	2	2	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7FvTYVDZufAoNGZo	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	Third, as the brine slowly works its way into the meat, it seasons it beyond just the very surface. An overnight brine will penetrate a few millimeters into the meat, giving you built-in seasoning before you ever get to the breading.			1	2	There are two facts in this text.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7FvTYVDZufAoNGZo	-NBM6vn7Z86UOCauNJrG			?	Third, as the brine slowly works its way into the meat, it seasons it beyond just the very surface. An overnight brine will penetrate a few millimeters into the meat, giving you built-in seasoning before you ever get to the breading.			1	2	There are two facts in this text.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7KBdZSPDn4HL2PZf	-NBM6vSoancJRmbMelTj	knowledge	science	That's very interesting, what does brining do	Interesting, right? :-D			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7KBdZSPDn4HL2PZf	-NBM6vn7Z86UOCauNJrG			?	Interesting, right? :-D			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM7g6jxCzFYEE9AQOv	 	 	 	 	You can also spot a visual difference between unbrined and brined meat			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM8Acl0t_ZvA6AIVMj	-NBM87rcSmhAWC82o_l-	cooking_technique	visual	Can I see?	Sure!			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM8B0dkE16pQnEVzL5	-NBM87rcSmhAWC82o_l-	cooking_technique	visual	Can I see?	https://www.seriouseats.com/thmb/0aQRJ15krGbviHzK5B3BHQj9Ep8=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__2015__07__20150715-fried-chicken-02-921b328acddf4d73b1816d60b47fb534.jpg			0	0	There are zero facts in this text. The text is actually a URL pointing to an image.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM8Iyq9xzk6TxtAT6G	-NBM8FshrXcp_-d0JtuC			Definitely more moisture!	Oh yes!			0	0	As an AI language model, I do not have access to the actual text that you are referring to. Please provide me with the text, so that I can accurately count the number of facts in it.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM8RGDpXyeJGimLcbc	 	 	 	 	Also: Using buttermilk affects the outcome in a special way :)			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM9WVb-tmq5Jm2rLa3	-NBM9KbxYFNiGHX67D6z	knowledge	science_knowledge	How so?	If you replace water with buttermilk, not only does the chicken come out just as moist as with water brine, it is actually significantly more tender as well, due to the tenderizing effects of buttermilk on food (soaking it for more than one night led to chicken that was so tender that it bordered on mush). Finally, hitting the buttermilk with spices helps build flavor right into the surface of the bird.			2	3	3	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBM9yFYqIqvcRtqBiwf	 	 	 	 	So these are the key features you should know about brining.  Was it helpful? Do you need more information?			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMA7HlgU4nevUVg-EI	-NBMA3-0QBWKqqRPdLCs			Very helpful thank you!	Great!			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMAEQUDaLnjoC3s54G	 	 	 	 	"If you wish to go to the next step, simply say ""Next""."			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMAM1CfhFg0qMNiM9G	-NBMAFVdjYuyx-wxPTiB			next	Step 3:  Whisk together the flour, cornstarch, baking powder, 2 teaspoons salt, and the remaining spice mixture in a large bowl. Add 3 tablespoons of the marinade from the zipper-lock bag and work it into the flour with your fingertips. Remove one piece of chicken from the bag, allowing excess buttermilk to drip off, drop the chicken into the flour mixture, and toss to coat. Continue adding chicken pieces to the flour mixture one at a time until they are all in the bowl. Toss the chicken until every piece is thoroughly coated, pressing with your hands to get the flour to adhere in a thick layer.			0	7	There are 7 facts in this text: 1. Whisk together flour, cornstarch, baking powder, salt, and spice mixture. 2. Add 3 tablespoons of marinade and work into flour mix. 3. Remove chicken from bag and allow excess buttermilk to drip off. 4. Drop chicken into flour mixture and toss to coat. 5. Repeat until all chicken pieces are coated. 6. Toss chicken until every piece is thoroughly coated. 7. Press with your hands to get the flour to adhere in a thick layer.	0	1	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMAPNkkUyH6tQOYWxb	-NBMAFVdjYuyx-wxPTiB			next	https://www.seriouseats.com/thmb/BrPUHGc7QRNq9ttCGgY4LPR-0A0=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2015__07__20210324-SouthernFriedChicken-Andrew-Janjigian-step3-1c02515d6c824840a47764df23aeafb0.jpg			0	0	There are zero facts in this text.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMB4kQJhUOa3A3ua8m	-NBMAFVdjYuyx-wxPTiB			next	How can I help you with this step?			0	0	0. There are no facts stated in this text.	0	0	0	0	0.0
